Codi,Nom,Codi comarca,Nom comarca,UTM X,UTM Y,Longitud,Latitud,Georeferència,LIMADM_MUNICIPI,LIMADM COMARCA
250447,Bassella,04,Alt Urgell,358748.305,4651839.304,1.294293646,42.00590676,POINT (1.294293646 42.00590676),7,5
431212,Rasquera,30,Ribera d'Ebre,297911.1401,4541689.821,0.597134391,41.00136649,POINT (0.597134391 41.00136649),169,36
430574,"Febró, la",08,Baix Camp,332828.6549,4571453.377,1.003933683,41.27722074,POINT (1.003933683 41.27722074),535,39
171886,"Selva de Mar, la",02,Alt Empordà,515406.8057,4685820.231,3.186985848,42.32447472,POINT (3.186985848 42.32447472),247,6
082975,Veciana,06,Anoia,374161.0315,4612684.127,1.488662991,41.65597683,POINT (1.488662991 41.65597683),859,24
171002,Masarac,02,Alt Empordà,497731.8002,4688745.307,2.972460262,42.3509675,POINT (2.972460262 42.3509675),236,6
080919,Gelida,03,Alt Penedès,405029.8948,4588329.855,1.863167973,41.44092894,POINT (1.863167973 41.44092894),921,32
080305,Cabrils,21,Maresme,447249.0286,4597368.549,2.367716483,41.52622386,POINT (2.367716483 41.52622386),712,25
250729,Cervera,32,Segarra,356080.4117,4614115.996,1.27125747,41.66580832,POINT (1.27125747 41.66580832),900,19
170669,Figueres,02,Alt Empordà,496774.3097,4679445.634,2.960886614,42.2672096,POINT (2.960886614 42.2672096),191,6
171096,Montagut i Oix,19,Garrotxa,466676.892,4675554.903,2.59616617,42.23146439,POINT (2.59616617 42.23146439),246,10
170097,Arbúcies,34,Selva,459614.461,4629461.982,2.513754625,41.81600431,POINT (2.513754625 41.81600431),730,20
430640,Gandesa,37,Terra Alta,284784.6512,4547698.676,0.439107295,41.05208342,POINT (0.439107295 41.05208342),205,38
080155,Badalona,13,Barcelonès,437170.1396,4588989.202,2.247791638,41.45002603,POINT (2.247791638 41.45002603),531,29
439018,Deltebre,09,Baix Ebre,307665.1507,4510125.472,0.722777588,40.71960517,POINT (0.722777588 40.71960517),217,40
430081,Alfara de Carles,09,Baix Ebre,280930.2447,4527996.703,0.400259187,40.87375777,POINT (0.400259187 40.87375777),207,40
080641,Castellterçol,42,Moianès,426879.1884,4622566.742,2.12050299,41.75156183,POINT (2.12050299 41.75156183),791,22
081290,Muntanyola,24,Osona,431759.7679,4636603.31,2.177584873,41.87840992,POINT (2.177584873 41.87840992),25,13
431671,Vilanova d'Escornalbou,08,Baix Camp,326758.2959,4553349.269,0.936622714,41.11296714,POINT (0.936622714 41.11296714),180,39
251497,Oliana,04,Alt Urgell,360342.3577,4658500.303,1.31194814,42.06615809,POINT (1.31194814 42.06615809),353,5
170340,Calonge i Sant Antoni,10,Baix Empordà,506294.4011,4634354.158,3.075838423,41.86107184,POINT (3.075838423 41.86107184),748,16
082592,Santa Maria de Palautordera,41,Vallès Oriental,453907.1038,4615838.048,2.44609648,41.69298714,POINT (2.44609648 41.69298714),635,22
431476,Solivella,16,Conca de Barberà,347804.9198,4590971.342,1.177765474,41.45590429,POINT (1.177765474 41.45590429),600,28
080425,Cànoves i Samalús,41,Vallès Oriental,446156.1692,4615995.586,2.352943715,41.69391937,POINT (2.352943715 41.69391937),922,22
171411,Puigcerdà,15,Cerdanya,411736.3821,4698370.194,1.926947695,42.43263033,POINT (1.926947695 42.43263033),348,4
081249,Mollet del Vallès,41,Vallès Oriental,434126.017,4598496.65,2.210310853,41.53541184,POINT (2.210310853 41.53541184),703,22
170767,Garrigoles,10,Baix Empordà,502520.6025,4661681.229,3.030486814,42.10721936,POINT (3.030486814 42.10721936),69,16
251235,Lladorre,26,Pallars Sobirà,356418.1055,4720282.844,1.249167838,42.62161411,POINT (1.249167838 42.62161411),315,2
171485,Riudarenes,34,Selva,476456.2908,4630045.378,2.716505285,41.82193823,POINT (2.716505285 41.82193823),683,20
250693,Castelló de Farfanya,23,Noguera,311249.9846,4632317.808,0.727346844,41.82026728,POINT (0.727346844 41.82026728),727,15
081901,Saldes,14,Berguedà,395706.5456,4676011.062,1.736147373,42.22932023,POINT (1.736147373 42.22932023),267,8
430509,Creixell,36,Tarragonès,369185.2229,4558549.951,1.440627272,41.16773933,POINT (1.440627272 41.16773933),472,37
430982,Nulles,01,Alt Camp,357161.1268,4567855.037,1.295178559,41.24949229,POINT (1.295178559 41.24949229),375,30
259078,Torrefeta i Florejacs,32,Segarra,356578.3476,4623949.901,1.274869878,41.75443314,POINT (1.274869878 41.75443314),673,19
250501,Bellpuig,38,Urgell,334402.3431,4610123.081,1.012110106,41.62565452,POINT (1.012110106 41.62565452),753,17
430458,Colldejou,08,Baix Camp,322666.7691,4552013.341,0.888307781,41.10005832,POINT (0.888307781 41.10005832),204,39
170221,"Bisbal d'Empordà, la",10,Baix Empordà,503161.4788,4645258.199,3.038149687,41.95930116,POINT (3.038149687 41.95930116),28,16
171181,Palamós,10,Baix Empordà,510757.3458,4632759.494,3.129581349,41.84666081,POINT (3.129581349 41.84666081),680,16
083041,Vilobí del Penedès,03,Alt Penedès,388272.8277,4582940.974,1.663622541,41.39024459,POINT (1.663622541 41.39024459),672,32
430705,"Guiamets, els",29,Priorat,311305.4778,4552496.511,0.752965188,41.10184911,POINT (0.752965188 41.10184911),201,35
171404,"Port de la Selva, el",02,Alt Empordà,516849.2729,4687391.751,3.204538207,42.33859809,POINT (3.204538207 42.33859809),177,6
431482,Tarragona,36,Tarragonès,353446.6264,4553261.879,1.254358212,41.11743424,POINT (1.254358212 41.11743424),230,37
080180,Balsareny,07,Bages,406781.2532,4635198.914,1.876819518,41.86321312,POINT (1.876819518 41.86321312),648,18
251116,Guixers,35,Solsonès,389778.0118,4665341.043,1.666343154,42.13243407,POINT (1.666343154 42.13243407),304,12
082830,Tona,24,Osona,436012.2851,4633411.689,2.229175918,41.85002154,POINT (2.229175918 41.85002154),729,13
431750,Vilalba dels Arcs,37,Terra Alta,282582.4557,4555435.733,0.410194282,41.12112328,POINT (0.410194282 41.12112328),459,38
081419,Navàs,07,Bages,407043.2844,4639262.919,1.879336762,41.89984083,POINT (1.879336762 41.89984083),575,18
431205,Querol,01,Alt Camp,366110.8242,4586989.148,1.397736804,41.42331134,POINT (1.397736804 41.42331134),533,30
252000,Sarroca de Lleida,33,Segrià,296355.7587,4592596.686,0.561683506,41.45912928,POINT (0.561683506 41.45912928),944,21
080272,"Cabanyes, les",03,Alt Penedès,390414.8154,4580852.954,1.689614095,41.37173606,POINT (1.689614095 41.37173606),104,32
170950,Lloret de Mar,34,Selva,487319.4493,4616325.965,2.847602852,41.69861565,POINT (2.847602852 41.69861565),751,20
082166,Sant Jaume de Frontanyà,14,Berguedà,419528.714,4670933.753,2.025486574,42.18641639,POINT (2.025486574 42.18641639),274,8
430555,Falset,29,Priorat,317068.2924,4557275.509,0.820118665,41.14618499,POINT (0.820118665 41.14618499),414,35
080082,Argençola,06,Anoia,370337.9773,4606261.146,1.444155159,41.59753198,POINT (1.444155159 41.59753198),864,24
431325,Rodonyà,01,Alt Camp,365925.7586,4571080.505,1.399037098,41.28003658,POINT (1.399037098 41.28003658),350,30
259062,"Valls d'Aguilar, les",04,Alt Urgell,363306.5543,4683746.32,1.341832868,42.29395966,POINT (1.341832868 42.29395966),395,5
171680,Sant Joan de Mollet,20,Gironès,495267.5393,4654864.274,2.942815805,42.04581194,POINT (2.942815805 42.04581194),115,14
082628,Sant Vicenç de Castellet,07,Bages,405395.4519,4613267.702,1.863615971,41.6655524,POINT (1.863615971 41.6655524),752,18
250714,Cava,04,Alt Urgell,383361.6087,4686871.172,1.58440322,42.32535337,POINT (1.58440322 42.32535337),415,5
250925,"Floresta, la",18,Garrigues,326405.842,4597446.466,0.919841953,41.50984771,POINT (0.919841953 41.50984771),915,27
082938,Vallcebre,14,Berguedà,402469.5336,4673028.006,1.818586195,42.20333326,POINT (1.818586195 42.20333326),360,8
251399,Montellà i Martinet,15,Cerdanya,392554.4104,4690585.606,1.695252157,42.36012031,POINT (1.695252157 42.36012031),433,4
170268,Borrassà,02,Alt Empordà,493906.6866,4674545.314,2.926166502,42.22305885,POINT (2.926166502 42.22305885),262,6
252022,Senterada,25,Pallars Jussà,329976.656,4687887.337,0.936534555,42.3246735,POINT (0.936534555 42.3246735),439,9
430748,Llorenç del Penedès,12,Baix Penedès,378818.3366,4571176.094,1.552917107,41.28293512,POINT (1.552917107 41.28293512),324,33
082520,Barberà del Vallès,40,Vallès Occidental,426959.8889,4596387.751,2.124669407,41.51579636,POINT (2.124669407 41.51579636),891,26
080240,Borredà,14,Berguedà,416861.0816,4665325.653,1.993986452,42.13563637,POINT (1.993986452 42.13563637),320,8
081995,Sant Bartomeu del Grau,24,Osona,431832.3885,4647914.744,2.177151812,41.98028526,POINT (2.177151812 41.98028526),3,13
430751,Margalef,29,Priorat,311930.6325,4572771.537,0.754172771,41.28448996,POINT (0.754172771 41.28448996),502,35
170216,Beuda,19,Garrotxa,476056.6711,4676145.452,2.70981115,42.23712686,POINT (2.70981115 42.23712686),233,10
430461,Conesa,16,Conca de Barberà,357424.8922,4597739.231,1.291294091,41.51860535,POINT (1.291294091 41.51860535),806,28
251327,Massoteres,32,Segarra,359656.1301,4628646.262,1.310765521,41.79726476,POINT (1.310765521 41.79726476),688,19
080018,Abrera,11,Baix Llobregat,408399.9631,4596650.842,1.902237925,41.5162579,POINT (1.902237925 41.5162579),887,31
080765,Esparreguera,11,Baix Llobregat,405801.9785,4599205.866,1.870708537,41.53896619,POINT (1.870708537 41.53896619),608,31
172023,Tossa de Mar,34,Selva,494246.8372,4618446.697,2.930836887,41.71779758,POINT (2.930836887 41.71779758),732,20
081537,Òrrius,21,Maresme,446207.0516,4600580.562,2.35494046,41.55508453,POINT (2.35494046 41.55508453),737,25
171254,Pardines,31,Ripollès,435234.6731,4684758.775,2.214123574,42.3123746,POINT (2.214123574 42.3123746),244,7
250978,Fulleda,18,Garrigues,335005.8143,4592046.392,1.02431182,41.46305309,POINT (1.02431182 41.46305309),530,27
080116,Avià,14,Berguedà,402819.428,4659024.982,1.82515717,42.07728596,POINT (1.82515717 42.07728596),103,8
080608,Castellfollit de Riubregós,06,Anoia,370149.1749,4626094.128,1.437574989,41.77607379,POINT (1.437574989 41.77607379),771,24
170736,Fornells de la Selva,20,Gironès,484286.4289,4642535.338,2.810456867,41.93462692,POINT (2.810456867 41.93462692),919,14
430607,Flix,30,Ribera d'Ebre,294660.3758,4567326.658,0.549946451,41.23128181,POINT (0.549946451 41.23128181),505,36
250753,Clariana de Cardener,35,Solsonès,385988.1119,4643353.406,1.624774181,41.93391509,POINT (1.624774181 41.93391509),16,12
081304,Montclar,14,Berguedà,397754.4974,4652535.594,1.765071661,42.01820919,POINT (1.765071661 42.01820919),114,8
080142,Aiguafreda,41,Vallès Oriental,437612.1891,4624388.539,2.249396729,41.76888504,POINT (2.249396729 41.76888504),814,22
083036,Vilanova de Sau,24,Osona,449010.3858,4644087.608,2.384824808,41.94711624,POINT (2.384824808 41.94711624),19,13
250788,Corbins,33,Segrià,308003.6342,4618002.199,0.692910362,41.69065099,POINT (0.692910362 41.69065099),557,21
170101,Argelaguer,19,Garrotxa,470425.6426,4673532.491,2.641698357,42.21340121,POINT (2.641698357 42.21340121),373,10
170904,Llambilles,20,Gironès,488331.3922,4641020.305,2.859278593,41.92105157,POINT (2.859278593 41.92105157),585,14
080235,Bigues i Riells del Fai,41,Vallès Oriental,434102.5437,4614475.505,2.208271917,41.67932227,POINT (2.208271917 41.67932227),631,22
081555,Palafolls,21,Maresme,479139.1955,4612862.331,2.749412882,41.667246,POINT (2.749412882 41.667246),756,25
